,gene_ids
EPDR1,ENSG00000086289
TRGC2,ENSG00000227191
TRGC1,ENSG00000211689
VPS41,ENSG00000006715
LINC00265,ENSG00000188185
SUGCT,ENSG00000175600
C7orf25,ENSG00000136197
BLVRA,ENSG00000106605
AC004847.1,ENSG00000260997
TBRG4,ENSG00000136270
IGFBP3,ENSG00000146674
AC073115.2,ENSG00000237471
TNS3,ENSG00000136205
HUS1,ENSG00000136273
PHKG1,ENSG00000164776
ZNF273,ENSG00000198039
ASL,ENSG00000126522
TPST1,ENSG00000169902
AC006001.2,ENSG00000226824
AUTS2,ENSG00000158321
CALN1,ENSG00000183166
TYW1B,ENSG00000277149
TBL2,ENSG00000106638
DNAJC30,ENSG00000176410
STX1A,ENSG00000106089
LAT2,ENSG00000086730
CASTOR2,ENSG00000274070
RCC1L,ENSG00000274523
GTF2IRD2B,ENSG00000174428
HIP1,ENSG00000127946
POR,ENSG00000127948
TMEM120A,ENSG00000189077
HSPB1,ENSG00000106211
CCDC146,ENSG00000135205
FGL2,ENSG00000127951
GSAP,ENSG00000186088
PTPN12,ENSG00000127947
APTR,ENSG00000214293
TMEM60,ENSG00000135211
MAGI2,ENSG00000187391
GNAI1,ENSG00000127955
CD36,ENSG00000135218
SEMA3A,ENSG00000075213
ABCB4,ENSG00000005471
ABCB1,ENSG00000085563
ADAM22,ENSG00000008277
CDK14,ENSG00000058091
MTERF1,ENSG00000127989
KRIT1,ENSG00000001631
ANKIB1,ENSG00000001629
GATAD1,ENSG00000157259
PEX1,ENSG00000127980
RBM48,ENSG00000127993
SAMD9L,ENSG00000177409
BET1,ENSG00000105829
PEG10,ENSG00000242265
PPP1R9A,ENSG00000158528
AC002429.2,ENSG00000236197
SEM1,ENSG00000127922
BRI3,ENSG00000164713
TRRAP,ENSG00000196367
CPSF4,ENSG00000160917
ZKSCAN5,ENSG00000196652
ZSCAN25,ENSG00000197037
ZNF3,ENSG00000166526
MCM7,ENSG00000166508
CASTOR3,ENSG00000239521
SPDYE3,ENSG00000214300
PILRA,ENSG00000085514
PPP1R35,ENSG00000160813
AGFG2,ENSG00000106351
PCOLCE,ENSG00000106333
MOSPD3,ENSG00000106330
TRIP6,ENSG00000087077
SERPINE1,ENSG00000106366
AP1S1,ENSG00000106367
PLOD3,ENSG00000106397
CLDN15,ENSG00000106404
ORAI2,ENSG00000160991
EFCAB10,ENSG00000185055
ATXN7L1,ENSG00000146776
CDHR3,ENSG00000128536
NAMPT,ENSG00000105835
AC007032.1,ENSG00000273320
PIK3CG,ENSG00000105851
PRKAR2B,ENSG00000005249
DUS4L,ENSG00000105865
NRCAM,ENSG00000091129
IMMP2L,ENSG00000184903
LRRN3,ENSG00000173114
DOCK4,ENSG00000128512
TMEM168,ENSG00000146802
BMT2,ENSG00000164603
SMIM30,ENSG00000214194
TFEC,ENSG00000105967
CAPZA2,ENSG00000198898
ST7,ENSG00000004866
ING3,ENSG00000071243
CPED1,ENSG00000106034
FAM3C,ENSG00000196937
AASS,ENSG00000008311
AC006333.2,ENSG00000272686
POT1-AS1,ENSG00000224897
IMPDH1,ENSG00000106348
METTL2B,ENSG00000165055
IRF5,ENSG00000128604
AHCYL2,ENSG00000158467
ZC3HC1,ENSG00000091732
KLHDC10,ENSG00000128607
COPG2,ENSG00000158623
AC016831.7,ENSG00000285106
LINC00513,ENSG00000233559
AC016831.5,ENSG00000271204
AC058791.1,ENSG00000273319
MKLN1,ENSG00000128585
PLXNA4,ENSG00000221866
EXOC4,ENSG00000131558
LRGUK,ENSG00000155530
BPGM,ENSG00000172331
AGBL3,ENSG00000146856
TMEM140,ENSG00000146859
NUP205,ENSG00000155561
AC078845.1,ENSG00000232053
CREB3L2,ENSG00000182158
ZC3HAV1,ENSG00000105939
UBN2,ENSG00000157741
TBXAS1,ENSG00000059377
DENND2A,ENSG00000146966
BRAF,ENSG00000157764
WEE2-AS1,ENSG00000228775
TRBV14,ENSG00000275743
TRBC1,ENSG00000211751
EPHB6,ENSG00000106123
AC073342.1,ENSG00000231840
ZYX,ENSG00000159840
TPK1,ENSG00000196511
CNTNAP2,ENSG00000174469
EZH2,ENSG00000106462
AC073140.1,ENSG00000286171
PDIA4,ENSG00000155660
ZNF398,ENSG00000197024
ZNF862,ENSG00000106479
GIMAP6,ENSG00000133561
TMEM176B,ENSG00000106565
TMEM176A,ENSG00000002933
ABCB8,ENSG00000197150
AGAP3,ENSG00000133612
ABCF2,ENSG00000033050
SMARCD3,ENSG00000082014
WDR86,ENSG00000187260
PRKAG2,ENSG00000106617
GALNT11,ENSG00000178234
PAXIP1,ENSG00000157212
AC009403.1,ENSG00000216895
PTPRN2,ENSG00000155093
NCAPG2,ENSG00000146918
VIPR2,ENSG00000106018
AC004908.2,ENSG00000272812
ERICH1,ENSG00000104714
MYOM2,ENSG00000036448
ANGPT2,ENSG00000091879
PRAG1,ENSG00000275342
AC034111.1,ENSG00000260093
MSRA,ENSG00000175806
PINX1,ENSG00000254093
MTMR9,ENSG00000104643
BLK,ENSG00000136573
CTSB,ENSG00000164733
AC068587.4,ENSG00000283674
MTUS1,ENSG00000129422
ASAH1,ENSG00000104763
PSD3,ENSG00000156011
CSGALNACT1,ENSG00000147408
ATP6V1B2,ENSG00000147416
GFRA2,ENSG00000168546
XPO7,ENSG00000130227
DMTN,ENSG00000158856
REEP4,ENSG00000168476
BIN3,ENSG00000147439
EGR3,ENSG00000179388
TNFRSF10D,ENSG00000173530
SLC25A37,ENSG00000147454
ADAM28,ENSG00000042980
AC120193.1,ENSG00000253535
DOCK5,ENSG00000147459
CDCA2,ENSG00000184661
DPYSL2,ENSG00000092964
TRIM35,ENSG00000104228
PTK2B,ENSG00000120899
NUGGC,ENSG00000189233
ELP3,ENSG00000134014
AC021678.2,ENSG00000253690
INTS9,ENSG00000104299
DUSP4,ENSG00000120875
GSR,ENSG00000104687
TTI2,ENSG00000129696
MAK16,ENSG00000198042
RNF122,ENSG00000133874
ZNF703,ENSG00000183779
PLPBP,ENSG00000147471
RAB11FIP1,ENSG00000156675
EIF4EBP1,ENSG00000187840
ASH2L,ENSG00000129691
BAG4,ENSG00000156735
AC084024.4,ENSG00000285632
LETM2,ENSG00000165046
FGFR1,ENSG00000077782
PLEKHA2,ENSG00000169499
AC108863.2,ENSG00000253645
ADAM9,ENSG00000168615
AP3M2,ENSG00000070718
PLAT,ENSG00000104368
AC090739.1,ENSG00000254165
SMIM19,ENSG00000176209
SPIDR,ENSG00000164808
CEBPD,ENSG00000221869
MCM4,ENSG00000104738
AC064807.1,ENSG00000228801
TMEM68,ENSG00000167904
LYN,ENSG00000254087
TOX,ENSG00000198846
LINC01301,ENSG00000251396
AC068389.3,ENSG00000255321
CHD7,ENSG00000171316
CLVS1,ENSG00000177182
ASPH,ENSG00000198363
MTFR1,ENSG00000066855
AC009879.4,ENSG00000287127
ADHFE1,ENSG00000147576
MYBL1,ENSG00000185697
CSPP1,ENSG00000104218
LACTB2-AS1,ENSG00000246366
LACTB2,ENSG00000147592
XKR9,ENSG00000221947
MSC-AS1,ENSG00000235531
TERF1,ENSG00000147601
STAU2,ENSG00000040341
AC027018.1,ENSG00000254538
LY96,ENSG00000154589
AC087672.2,ENSG00000254288
GDAP1,ENSG00000104381
PKIA-AS1,ENSG00000254266
TPD52,ENSG00000076554
FABP5,ENSG00000164687
SNX16,ENSG00000104497
CA13,ENSG00000185015
CA2,ENSG00000104267
RMDN1,ENSG00000176623
CPNE3,ENSG00000085719
AF117829.1,ENSG00000251136
RIPK2,ENSG00000104312
NBN,ENSG00000104320
OTUD6B,ENSG00000155100
TRIQK,ENSG00000205133
TMEM67,ENSG00000164953
VIRMA,ENSG00000164944
DPY19L4,ENSG00000156162
TP53INP1,ENSG00000164938
C8orf37-AS1,ENSG00000253773
SDC2,ENSG00000169439
CPQ,ENSG00000104324
POP1,ENSG00000104356
NIPAL2,ENSG00000104361
STK3,ENSG00000104375
VPS13B-DT,ENSG00000253948
SPAG1,ENSG00000104450
RNF19A,ENSG00000034677
AP003472.1,ENSG00000253824
NCALD,ENSG00000104490
KLF10,ENSG00000155090
AZIN1-AS1,ENSG00000253320
ATP6V1C1,ENSG00000155097
SLC25A32,ENSG00000164933
AC090579.1,ENSG00000253582
EXT1,ENSG00000182197
SAMD12,ENSG00000177570
ENPP2,ENSG00000136960
AP005717.2,ENSG00000286362
MRPL13,ENSG00000172172
MTBP,ENSG00000172167
SNTB1,ENSG00000172164
AC104958.2,ENSG00000272502
AC104316.1,ENSG00000253607
TBC1D31,ENSG00000156787
C8orf76,ENSG00000189376
ZHX1,ENSG00000165156
ATAD2,ENSG00000156802
FBXO32,ENSG00000156804
FAM91A1,ENSG00000176853
MTSS1,ENSG00000170873
SQLE,ENSG00000104549
TRIB1,ENSG00000173334
AC016074.2,ENSG00000286122
PCAT1,ENSG00000253438
CASC19,ENSG00000254166
PRNCR1,ENSG00000282961
MYC,ENSG00000136997
AC131568.1,ENSG00000287195
ASAP1,ENSG00000153317
EFR3A,ENSG00000132294
TG,ENSG00000042832
SLA,ENSG00000155926
NDRG1,ENSG00000104419
ZFAT,ENSG00000066827
LINC02055,ENSG00000254101
TRAPPC9,ENSG00000167632
DENND3,ENSG00000105339
AC040970.1,ENSG00000253210
TSNARE1,ENSG00000171045
THEM6,ENSG00000130193
GLI4,ENSG00000250571
ZC3H3,ENSG00000014164
NAPRT,ENSG00000147813
ZNF623,ENSG00000183309
PLEC,ENSG00000178209
GRINA,ENSG00000178719
SLC52A2,ENSG00000185803
KIFC2,ENSG00000167702
LRRC14,ENSG00000160959
ZNF251,ENSG00000198169
ZNF7,ENSG00000147789
ZNF16,ENSG00000170631
WASHC1,ENSG00000181404
DOCK8-AS1,ENSG00000183784
KANK1,ENSG00000107104
RFX3,ENSG00000080298
GLIS3,ENSG00000107249
CDC37L1-DT,ENSG00000273061
AK3,ENSG00000147853
RCL1,ENSG00000120158
JAK2,ENSG00000096968
AL162253.2,ENSG00000286162
RANBP6,ENSG00000137040
AL133480.1,ENSG00000233367
AL354707.1,ENSG00000225489
ZDHHC21,ENSG00000175893
TTC39B,ENSG00000155158
SNAPC3,ENSG00000164975
BNC2,ENSG00000173068
PLIN2,ENSG00000147872
MLLT3,ENSG00000171843
FOCAD,ENSG00000188352
HACD4,ENSG00000188921
MTAP,ENSG00000099810
CAAP1,ENSG00000120159
IFT74,ENSG00000096872
MOB3B,ENSG00000120162
LINGO2,ENSG00000174482
DDX58,ENSG00000107201
BAG1,ENSG00000107262
AQP3,ENSG00000165272
UBE2R2-AS1,ENSG00000235481
UBAP2,ENSG00000137073
NUDT2,ENSG00000164978
FAM219A,ENSG00000164970
RPP25L,ENSG00000164967
RUSC2,ENSG00000198853
CD72,ENSG00000137101
GBA2,ENSG00000070610
MSMP,ENSG00000215183
TMEM8B,ENSG00000137103
GLIPR2,ENSG00000122694
GNE,ENSG00000159921
PAX5,ENSG00000196092
AL161781.2,ENSG00000250850
ZCCHC7,ENSG00000147905
ZBTB5,ENSG00000168795
DCAF10,ENSG00000122741
FAM201A,ENSG00000204860
AL161457.2,ENSG00000233178
PIP5K1B,ENSG00000107242
FAM122A,ENSG00000187866
PTAR1,ENSG00000188647
AL162390.1,ENSG00000274421
CEMIP2,ENSG00000135048
LINC01504,ENSG00000225434
ANXA1,ENSG00000135046
CARNMT1,ENSG00000156017
PCSK5,ENSG00000099139
RFK,ENSG00000135002
GNAQ,ENSG00000156052
CEP78,ENSG00000148019
TLE1,ENSG00000196781
FRMD3,ENSG00000172159
KIF27,ENSG00000165115
AGTPBP1,ENSG00000135049
GOLM1,ENSG00000135052
C9orf153,ENSG00000187753
DAPK1,ENSG00000196730
CTSL,ENSG00000135047
GADD45G,ENSG00000130222
SYK,ENSG00000165025
AUH,ENSG00000148090
NFIL3,ENSG00000165030
IARS,ENSG00000196305
CENPP,ENSG00000188312
OGN,ENSG00000106809
OMD,ENSG00000127083
BICD2,ENSG00000185963
CARD19,ENSG00000165233
NINJ1,ENSG00000131669
AL158152.1,ENSG00000269929
MFSD14B,ENSG00000148110
FBP1,ENSG00000165140
AOPEP,ENSG00000148120
FANCC,ENSG00000158169
LINC00476,ENSG00000175611
ERCC6L2,ENSG00000182150
SLC35D2,ENSG00000130958
ZNF782,ENSG00000196597
AL590705.1,ENSG00000203279
TDRD7,ENSG00000196116
NANS,ENSG00000095380
TRIM14,ENSG00000106785
CORO2A,ENSG00000106789
TBC1D2,ENSG00000095383
TGFBR1,ENSG00000106799
ALG2,ENSG00000119523
NR4A3,ENSG00000119508
INVS,ENSG00000119509
RNF20,ENSG00000155827
ABCA1,ENSG00000165029
AL591506.1,ENSG00000286536
FKTN,ENSG00000106692
LINC01505,ENSG00000234323
KLF4,ENSG00000136826
CTNNAL1,ENSG00000119326
PALM2-AKAP2,ENSG00000157654
ECPAS,ENSG00000136813
DNAJC25,ENSG00000059769
SUSD1,ENSG00000106868
KIAA1958,ENSG00000165185
INIP,ENSG00000148153
SNX30,ENSG00000148158
ZNF883,ENSG00000285447
SLC31A2,ENSG00000136867
SLC31A1,ENSG00000136868
CDC26,ENSG00000176386
PRPF4,ENSG00000136875
RGS3,ENSG00000138835
AKNA,ENSG00000106948
AL138895.1,ENSG00000235119
WHRN,ENSG00000095397
ASTN2,ENSG00000148219
TLR4,ENSG00000136869
CDK5RAP2,ENSG00000136861
MEGF9,ENSG00000106780
PSMD5,ENSG00000095261
TRAF1,ENSG00000056558
GSN,ENSG00000148180
STOM,ENSG00000148175
RBM18,ENSG00000119446
STRBP,ENSG00000165209
DENND1A,ENSG00000119522
AL390774.2,ENSG00000230826
PBX3,ENSG00000167081
ZBTB43,ENSG00000169155
ZBTB34,ENSG00000177125
RALGPS1,ENSG00000136828
ZNF79,ENSG00000196152
PTRH1,ENSG00000187024
TTC16,ENSG00000167094
TOR2A,ENSG00000160404
SH2D3C,ENSG00000095370
ENG,ENSG00000106991
SLC25A25,ENSG00000148339
PTGES2,ENSG00000148334
ZER1,ENSG00000160445
ENDOG,ENSG00000167136
SH3GLB2,ENSG00000148341
IER5L,ENSG00000188483
TOR1A,ENSG00000136827
ABL1,ENSG00000097007
NUP214,ENSG00000126883
AL157938.2,ENSG00000236986
AL157938.3,ENSG00000246851
UCK1,ENSG00000130717
RAPGEF1,ENSG00000107263
TTF1,ENSG00000125482
TSC1,ENSG00000165699
SLC2A6,ENSG00000160326
FCN1,ENSG00000085265
NACC2,ENSG00000148411
TMEM250,ENSG00000238227
PMPCA,ENSG00000165688
SEC16A,ENSG00000148396
NOTCH1,ENSG00000148400
AGPAT2,ENSG00000169692
LCN8,ENSG00000204001
CCDC183,ENSG00000213213
PHPT1,ENSG00000054148
TRAF2,ENSG00000127191
PTGDS,ENSG00000107317
CLIC3,ENSG00000169583
ABCA2,ENSG00000107331
BX255925.3,ENSG00000284976
DPH7,ENSG00000148399
DIP2C,ENSG00000151240
AL513303.1,ENSG00000287175
AKR1E2,ENSG00000165568
ANKRD16,ENSG00000134461
IL2RA,ENSG00000134460
PFKFB3,ENSG00000170525
SFMBT2,ENSG00000198879
KIN,ENSG00000151657
GATA3,ENSG00000107485
USP6NL,ENSG00000148429
DHTKD1,ENSG00000181192
SEC61A2,ENSG00000065665
NUDT5,ENSG00000165609
CDC123,ENSG00000151465
CAMK1D,ENSG00000183049
SEPHS1,ENSG00000086475
PRPF18,ENSG00000165630
AL157392.3,ENSG00000239665
NMT2,ENSG00000152465
MINDY3,ENSG00000148481
STAM,ENSG00000136738
AL450384.2,ENSG00000240291
NSUN6,ENSG00000241058
PLXDC2,ENSG00000120594
DNAJC1,ENSG00000136770
COMMD3,ENSG00000148444
OTUD1,ENSG00000165312
AL512603.2,ENSG00000287124
ARHGAP21,ENSG00000107863
PDSS1,ENSG00000148459
ANKRD26,ENSG00000107890
AL160291.1,ENSG00000262412
MPP7-DT,ENSG00000282996
MTPAP,ENSG00000107951
MAP3K8,ENSG00000107968
ZNF438,ENSG00000183621
ZEB1,ENSG00000148516
AL391839.1,ENSG00000229327
AL391839.3,ENSG00000286409
CCDC7,ENSG00000216937
ITGB1,ENSG00000150093
ZNF33B,ENSG00000196693
AL022345.4,ENSG00000285884
RASGEF1A,ENSG00000198915
AL353801.3,ENSG00000273363
RASSF4,ENSG00000107551
ZNF22,ENSG00000165512
ALOX5,ENSG00000012779
MARCH8,ENSG00000165406
AGAP4,ENSG00000188234
TIMM23,ENSG00000265354
NCOA4,ENSG00000266412
MAPK8,ENSG00000107643
ARHGAP22,ENSG00000128805
WDFY4,ENSG00000128815
AC060234.3,ENSG00000241577
PARG,ENSG00000227345
WASHC2A,ENSG00000099290
SGMS1,ENSG00000198964
CSTF2T,ENSG00000177613
AC010996.1,ENSG00000287016
UBE2D1,ENSG00000072401
ANK3,ENSG00000151150
ARID5B,ENSG00000150347
RTKN2,ENSG00000182010
REEP3,ENSG00000165476
CTNNA3,ENSG00000183230
SIRT1,ENSG00000096717
HERC4,ENSG00000148634
SLC25A16,ENSG00000122912
STOX1,ENSG00000165730
SRGN,ENSG00000122862
HK1,ENSG00000156515
LRRC20,ENSG00000172731
PRF1,ENSG00000180644
SGPL1,ENSG00000166224
PCBD1,ENSG00000166228
SLC29A3,ENSG00000198246
CDH23,ENSG00000107736
VSIR,ENSG00000107738
PSAP,ENSG00000197746
ASCC1,ENSG00000138303
DDIT4,ENSG00000168209
DNAJB12,ENSG00000148719
MCU,ENSG00000156026
P4HA1,ENSG00000122884
NUDT13,ENSG00000166321
FAM149B1,ENSG00000138286
DNAJC9,ENSG00000213551
CFAP70,ENSG00000156042
MSS51,ENSG00000166343
USP54,ENSG00000166348
CHCHD1,ENSG00000172586
NDST2,ENSG00000166507
ADK,ENSG00000156110
LRMDA,ENSG00000148655
DLG5,ENSG00000151208
ZMIZ1,ENSG00000108175
PPIF,ENSG00000108179
EIF5AL1,ENSG00000253626
AL603756.1,ENSG00000271933
NUTM2A-AS1,ENSG00000223482
RNLS,ENSG00000184719
FAS,ENSG00000026103
LIPA,ENSG00000107798
IFIT2,ENSG00000119922
IFIT3,ENSG00000119917
IFIT1,ENSG00000185745
KIF20B,ENSG00000138182
LINC01374,ENSG00000280560
CPEB3,ENSG00000107864
HHEX,ENSG00000152804
EXOC6,ENSG00000138190
TBC1D12,ENSG00000108239
HELLS,ENSG00000119969
PDLIM1,ENSG00000107438
SORBS1,ENSG00000095637
ENTPD1,ENSG00000138185
ENTPD1-AS1,ENSG00000226688
CCNJ,ENSG00000107443
ZNF518A,ENSG00000177853
PIK3AP1,ENSG00000155629
LCOR,ENSG00000196233
RRP12,ENSG00000052749
MMS19,ENSG00000155229
PYROXD2,ENSG00000119943
HPS1,ENSG00000107521
DNMBP,ENSG00000107554
CHUK,ENSG00000213341
CWF19L1,ENSG00000095485
OLMALINC,ENSG00000235823
SEC31B,ENSG00000075826
SLF2,ENSG00000119906
BTRC,ENSG00000166167
KCNIP2-AS1,ENSG00000226009
ARMH3,ENSG00000120029
HPS6,ENSG00000166189
ACTR1A,ENSG00000138107
SUFU,ENSG00000107882
ARL3,ENSG00000138175
AL358790.1,ENSG00000282772
CNNM2,ENSG00000148842
PCGF6,ENSG00000156374
PDCD11,ENSG00000148843
SORCS3,ENSG00000156395
XPNPEP1,ENSG00000108039
DUSP5,ENSG00000138166
PDCD4-AS1,ENSG00000203497
GPAM,ENSG00000119927
TCF7L2,ENSG00000148737
AL158212.2,ENSG00000233547
CASP7,ENSG00000165806
AL137025.1,ENSG00000228484
SLC18A2,ENSG00000165646
PRDX3,ENSG00000165672
GRK5,ENSG00000198873
BAG3,ENSG00000151929
INPP5F,ENSG00000198825
WDR11,ENSG00000120008
ATE1,ENSG00000107669
CHST15,ENSG00000182022
FAM53B,ENSG00000189319
ABRAXAS2,ENSG00000165660
ZRANB1,ENSG00000019995
CTBP2,ENSG00000175029
UROS,ENSG00000188690
FANK1,ENSG00000203780
ADAM12,ENSG00000148848
PTPRE,ENSG00000132334
GLRX3,ENSG00000108010
BNIP3,ENSG00000176171
INPP5A,ENSG00000068383
ZNF511,ENSG00000198546
FUOM,ENSG00000148803
SCART1,ENSG00000214279
AL731769.2,ENSG00000288107
SIRT3,ENSG00000142082
IFITM2,ENSG00000185201
AC136475.1,ENSG00000251661
IFITM3,ENSG00000142089
ANO9,ENSG00000185101
PTDSS2,ENSG00000174915
HRAS,ENSG00000174775
LMNTD2,ENSG00000185522
DEAF1,ENSG00000177030
EPS8L2,ENSG00000177106
TALDO1,ENSG00000177156
PIDD1,ENSG00000177595
TSPAN4,ENSG00000214063
CHID1,ENSG00000177830
MUC6,ENSG00000184956
TOLLIP,ENSG00000078902
MOB2,ENSG00000182208
IFITM10,ENSG00000244242
MRPL23,ENSG00000214026
C11orf21,ENSG00000110665
KCNQ1,ENSG00000053918
CDKN1C,ENSG00000129757
SLC22A18,ENSG00000110628
PHLDA2,ENSG00000181649
OSBPL5,ENSG00000021762
AC127526.2,ENSG00000255367
RRM1,ENSG00000167325
HBB,ENSG00000244734
TRIM5,ENSG00000132256
CNGA4,ENSG00000132259
APBB1,ENSG00000166313
TRIM3,ENSG00000110171
TIMM10B,ENSG00000132286
DNHD1,ENSG00000179532
TPP1,ENSG00000166340
MRPL17,ENSG00000158042
PPFIBP2,ENSG00000166387
DENND5A,ENSG00000184014
IPO7,ENSG00000205339
ZNF143,ENSG00000166478
WEE1,ENSG00000166483
SWAP70,ENSG00000133789
LINC02709,ENSG00000245522
SBF2-AS1,ENSG00000246273
SBF2,ENSG00000133812
AC011092.2,ENSG00000255476
ADM,ENSG00000148926
AMPD3,ENSG00000133805
MTRNR2L8,ENSG00000255823
RNF141,ENSG00000110315
CTR9,ENSG00000198730
AC116535.1,ENSG00000246308
ZBED5-AS1,ENSG00000247271
DKK3,ENSG00000050165
MICAL2,ENSG00000133816
RRAS2,ENSG00000133818
PDE3B,ENSG00000152270
IGSF22,ENSG00000179057
NAV2,ENSG00000166833
HTATIP2,ENSG00000109854
PRMT3,ENSG00000185238
AC006299.1,ENSG00000246225
LIN7C,ENSG00000148943
BDNF-AS,ENSG00000245573
KIF18A,ENSG00000121621
METTL15,ENSG00000169519
MPPED2,ENSG00000066382
DNAJC24,ENSG00000170946
IMMP1L,ENSG00000148950
ELP4,ENSG00000109911
AC131571.1,ENSG00000228061
QSER1,ENSG00000060749
LMO2,ENSG00000135363
ABTB2,ENSG00000166016
PDHX,ENSG00000110435
COMMD9,ENSG00000110442
C11orf74,ENSG00000166352
API5,ENSG00000166181
TTC17,ENSG00000052841
EXT2,ENSG00000151348
MAPK8IP1,ENSG00000121653
PHF21A,ENSG00000135365
AC127035.1,ENSG00000285658
HARBI1,ENSG00000180423
CKAP5,ENSG00000175216
C11orf49,ENSG00000149179
MADD,ENSG00000110514
SPI1,ENSG00000066336
AC090559.1,ENSG00000255197
PSMC3,ENSG00000165916
NDUFS3,ENSG00000213619
PTPRJ,ENSG00000149177
TMX2,ENSG00000213593
CTNND1,ENSG00000198561
AP001636.3,ENSG00000255240
FAM111A-DT,ENSG00000245571
FAM111A,ENSG00000166801
DTX4,ENSG00000110042
MPEG1,ENSG00000197629
AP000442.1,ENSG00000255139
STX3,ENSG00000166900
MS4A6A,ENSG00000110077
MS4A7,ENSG00000166927
MS4A1,ENSG00000156738
CCDC86,ENSG00000110104
PRPF19,ENSG00000110107
SLC15A3,ENSG00000110446
DDB1,ENSG00000167986
TKFC,ENSG00000149476
PPP1R32,ENSG00000162148
FEN1,ENSG00000168496
FADS2,ENSG00000134824
BEST1,ENSG00000167995
INCENP,ENSG00000149503
AHNAK,ENSG00000124942
AP001363.2,ENSG00000257058
CSKMT,ENSG00000214756
GNG3,ENSG00000162188
TTC9C,ENSG00000162222
POLR2G,ENSG00000168002
TMEM223,ENSG00000168569
AP001160.1,ENSG00000256690
PLAAT3,ENSG00000176485
ATL3,ENSG00000184743
TRPT1,ENSG00000149743
DNAJC4,ENSG00000110011
BAD,ENSG00000002330
GPR137,ENSG00000173264
ESRRA,ENSG00000173153
RPS6KA4,ENSG00000162302
PYGM,ENSG00000068976
MAP4K2,ENSG00000168067
MEN1,ENSG00000133895
EHD1,ENSG00000110047
ATG2A,ENSG00000110046
SNX15,ENSG00000110025
SAC3D1,ENSG00000168061
SYVN1,ENSG00000162298
FRMD8,ENSG00000126391
NEAT1,ENSG00000245532
ZNRD2,ENSG00000173465
EHBP1L1,ENSG00000173442
RELA-DT,ENSG00000285533
RNASEH2C,ENSG00000172922
AP5B1,ENSG00000254470
MUS81,ENSG00000172732
CTSW,ENSG00000172543
FOSL1,ENSG00000175592
EIF1AD,ENSG00000175376
PACS1,ENSG00000175115
RAB1B,ENSG00000174903
AP002748.4,ENSG00000255517
DPP3,ENSG00000254986
C11orf80,ENSG00000173715
TMEM134,ENSG00000172663
CDK2AP2,ENSG00000167797
GSTP1,ENSG00000084207
NUDT8,ENSG00000167799
AP002807.1,ENSG00000255031
CHKA,ENSG00000110721
C11orf24,ENSG00000171067
TESMIN,ENSG00000132749
AP002336.2,ENSG00000254604
DHCR7,ENSG00000172893
NADSYN1,ENSG00000172890
FAM86C1,ENSG00000158483
FOLR3,ENSG00000110203
INPPL1,ENSG00000165458
ARAP1,ENSG00000186635
AP002381.2,ENSG00000285693
ATG16L2,ENSG00000168010
FCHSD2,ENSG00000137478
RELT,ENSG00000054967
FAM168A,ENSG00000054965
AP000763.3,ENSG00000256448
RAB6A,ENSG00000175582
AP003717.1,ENSG00000255847
C2CD3,ENSG00000168014
PPME1,ENSG00000214517
KCNE3,ENSG00000175538
POLD3,ENSG00000077514
RNF169,ENSG00000166439
XRRA1,ENSG00000166435
UVRAG,ENSG00000198382
THAP12,ENSG00000137492
EMSY,ENSG00000158636
ACER3,ENSG00000078124
CAPN5,ENSG00000149260
AP002812.2,ENSG00000254459
NDUFC2,ENSG00000151366
KCTD21-AS1,ENSG00000246174
GAB2,ENSG00000033327
AP003086.1,ENSG00000254420
PRCP,ENSG00000137509
RAB30,ENSG00000137502
DLG2,ENSG00000150672
TMEM126A,ENSG00000171202
SYTL2,ENSG00000137501
PICALM,ENSG00000073921
PRSS23,ENSG00000150687
TMEM135,ENSG00000166575
CTSC,ENSG00000109861
DISC1FP1,ENSG00000261645
SMCO4,ENSG00000166002
C11orf54,ENSG00000182919
MRE11,ENSG00000020922
FUT4,ENSG00000196371
AP002383.2,ENSG00000256469
AP000787.1,ENSG00000245552
SESN3,ENSG00000149212
MTMR2,ENSG00000087053
MAML2,ENSG00000184384
ARHGAP42,ENSG00000165895
CEP126,ENSG00000110318
DYNC2H1,ENSG00000187240
AP002989.1,ENSG00000254987
PDGFD,ENSG00000170962
CASP1,ENSG00000137752
CARD16,ENSG00000204397
ACAT1,ENSG00000075239
EXPH5,ENSG00000110723
RDX,ENSG00000137710
FDX1,ENSG00000137714
LINC02550,ENSG00000271584
SIK2,ENSG00000170145
NKAPD1,ENSG00000150776
TIMM8B,ENSG00000150779
SDHD,ENSG00000204370
BCO2,ENSG00000197580
PLET1,ENSG00000188771
NCAM1,ENSG00000149294
ZW10,ENSG00000086827
ZBTB16,ENSG00000109906
CADM1,ENSG00000182985
BUD13,ENSG00000137656
SIK3,ENSG00000160584
PAFAH1B2,ENSG00000168092
SIDT2,ENSG00000149577
CEP164,ENSG00000110274
JAML,ENSG00000160593
AP002954.1,ENSG00000255422
AP004609.3,ENSG00000278376
CXCR5,ENSG00000160683
CCDC84,ENSG00000186166
VPS11,ENSG00000160695
MCAM,ENSG00000076706
RNF26,ENSG00000173456
ARHGEF12,ENSG00000196914
TBCEL,ENSG00000154114
AP001977.1,ENSG00000286044
UBASH3B,ENSG00000154127
AP002762.2,ENSG00000285909
CRTAM,ENSG00000109943
GRAMD1B,ENSG00000023171
