0_n	0_p	1_n	1_p	2_n	2_p	3_n	3_p	4_n	4_p	5_n	5_p	6_n	6_p	7_n	7_p	8_n	8_p	9_n	9_p	10_n	10_p	11_n	11_p	12_n	12_p	13_n	13_p	14_n	14_p	15_n	15_p	16_n	16_p	17_n	17_p	18_n	18_p
ZNF257	0.6925945331554546	AL645465.1	0.27807306190427816	FRS2	0.00028007738501592826	KIAA0930	0.34411859890883545	TRIM14	7.175576726267812e-26	AC011462.5	0.00873742146325639	LIN54	0.7901292766154532	SLC7A11	2.8819254678757272e-08	AC120193.1	3.4866740334909456e-08	SMIM14	0.9169239557326728	PFAS	0.3293937497345406	ACSM3	0.03906278767532932	GLUL	0.13802448789247487	SESN3	0.6856025162771442	NCOA3	2.124192877678504e-07	VIRMA	0.37601996925990544	RRNAD1	0.5908100504479005	PRC1	0.6775843757522054	SDF2	0.034353345701650564
AQP9	0.6920859966263391	ACACA	0.28060332927357123	NUP214	0.0002809058518222265	OTUD6B	0.34343340922471355	FAM102B	7.481915018840576e-26	ABRAXAS2	0.00880353228798682	RAB24	0.7922650844047766	LINC01619	2.9024793841257152e-08	IGHD	3.627079476987039e-08	ACSL3	0.9055117527327299	HERC4	0.3221047834832328	ST6GALNAC3	0.03858661596936044	PKNOX1	0.13828456930235572	NRCAM	0.6852342435173242	AC104984.3	2.0830300574891297e-07	AP001347.1	0.37692508950399406	SPIRE1	0.5913330565057018	ACACB	0.6754487670371954	NR3C2	0.03451954385491848
ENTPD1-AS1	0.6888926675690703	TOPBP1	0.2824657315476966	ADAM12	0.0002832855706647144	STK16	0.34217949327782127	NBPF19	7.847914286567416e-26	LINC00278	0.00897997174527403	AL136962.1	0.7954252186017983	VPS54	2.9273318700921103e-08	SLC10A1	3.767558763568902e-08	BICD1	0.9035927387301288	AC127521.1	0.32171854992639415	C17orf99	0.03762095328702046	PKD2	0.13828456930235572	DTNB	0.6717831802439633	NRCAM	2.049317542810458e-07	AC078845.1	0.378537506418003	CCDC85C	0.5939512728442626	NR4A1	0.6739717963104482	ATG16L2	0.034561200558441654
ABCF2	0.6834622764182273	NDST2	0.2826023331471149	CRAMP1	0.000284063037565245	MAP3K20	0.3414399210602279	AC079921.1	7.885476082743288e-26	MCEMP1	0.009159562372282024	ST8SIA1	0.7997060324363274	WDR20	2.9377478980547547e-08	CEPT1	3.860440631197379e-08	IFIH1	0.9032541473266145	SCFD2	0.3212624820558708	GAPT	0.03647021400091533	C17orf99	0.13841475153863947	CHROMR	0.671052451721694	LINC02432	1.901802485612438e-07	GNPTAB	0.3815722124097414	CAMK1	0.5946066546057756	IER5L	0.673315767606152	BMPR2	0.03493804707492477
WDR70	0.681366888744522	ELP4	0.28408505406900186	MCCC1	0.0002843625952783489	PLEKHA5	0.34036084972092195	GALNT2	8.013567559262073e-26	AC008569.1	0.009245828128393016	WARS2-AS1	0.8050188661151434	TTC28	2.9628932903261613e-08	PPT1	3.9273372465696607e-08	AL121839.2	0.9024641692438802	AC007622.2	0.32105213168315094	ST14	0.035912932674055424	TMEM199	0.13882761826806977	BRI3	0.6661889027904954	CYP2D6	1.787879180538241e-07	AL035071.1	0.3821809402526356	HIP1	0.5947377705992349	ITGB3BP	0.6728239091001829	AFG1L	0.03493804707492477
TXNDC9	0.6784807307188762	LARS2	0.28534377011921186	MIR222HG	0.0002850226644047937	TCF7L2	0.34030411708875274	MIR155HG	8.075974658466278e-26	LCORL	0.0093997379241336	TSTD3	0.8075386336753125	KIF1B	2.9692121927093877e-08	MDN1	4.102465316290832e-08	REXO1	0.901110146186302	TTC37	0.31944243536349504	ABCD2	0.035603502679463675	PTAR1	0.1388928943663596	SCLT1	0.6652178668301603	LINC02156	1.6477473066377273e-07	CHN1	0.38329848686300194	VPS26C	0.5973628592091662	AC127035.1	0.6721683154709142	AC011933.4	0.03498013467229538
CTDSP2	0.6692768469920939	STK39	0.285710649019397	PLAAT3	0.00029023290845367234	BRIP1	0.3339884245480108	CGAS	8.300692613042801e-26	VAV3-AS1	0.009415734147142854	SMC4	0.8080054773549366	ATF6	2.998873693083899e-08	FAM135A	4.4060649740194674e-08	ATP8B2	0.8989668662283115	SUMF1	0.3167250401379703	SPATA21	0.03427148477079761	RFX5	0.13959064430885354	AC023906.4	0.66061313441097	RERE	1.613271719512535e-07	VPS54	0.3834001811598531	LXN	0.5997299329876682	ANKLE2	0.6718406120836866	DUSP16	0.0350644397376743
RABEP2	0.6680581475672877	TLNRD1	0.2862615649265482	PTPN12	0.00029127334582938476	AP002748.4	0.3325890577587186	CCDC62	8.38029926017085e-26	FGL2	0.009599814750631024	CCDC62	0.8094998358205506	ZNF699	3.0331246146640555e-08	MTMR8	4.4092083059625923e-08	WDR11	0.8988540822904958	TPK1	0.3165860965370889	THAP4	0.033961302751999135	MIR155HG	0.13985299498424258	CAMK2D	0.6604921296161351	CMSS1	1.541313668569184e-07	ZNF461	0.38513151128592205	LRRC47	0.6001248577435876	LINC00612	0.6715129710537784	AC012447.1	0.03514891819386983
CMAS	0.6666255033001716	SUFU	0.2881262014850996	SMG7	0.00029244032186493595	AC090644.1	0.33230963943697556	AC092120.3	8.690802542261367e-26	ZNF235	0.009603072677234523	CAMSAP2	0.8097801055552255	SPATA21	3.048228454895282e-08	SETBP1	4.569177334445327e-08	AC104472.4	0.8967115781769524	AL445231.1	0.30770872307832187	AGFG1	0.03294463794294261	SULF2	0.14002810611113586	MIR155HG	0.6559005494387411	RNF125	1.5196941065939755e-07	SIRT1	0.3870721724253745	CCR6	0.6006516070016468	CRTAM	0.671021626547535	TRAPPC5	0.035275961590125096
AC008937.2	0.6644073071827327	HK2	0.2908107798097401	AC007728.2	0.00029244032186493595	SGK1	0.328191986666301	USF1	8.863505113995354e-26	AC008269.1	0.009691410139994616	MCM6	0.8128646751969031	SH2B1	3.05472384309575e-08	LINC01118	4.6281321932174974e-08	TPD52	0.8950206586264999	TFDP2	0.30702750305132886	FAM160A1	0.03268212116729918	ACACB	0.14046662193683132	TAOK3	0.6530072751060609	TIGIT	1.5139786027253098e-07	FAM161B	0.3874814914110636	CARMIL1	0.6022331069787439	SUSD1	0.6708578762828532	DNAJC4	0.035531224368405494
MRGBP	0.6614780753198337	GNAQ	0.2911126827706777	AL592429.2	0.00029422994266889527	ADGRG5	0.3266426235934865	CPPED1	9.055789025618272e-26	TRRAP	0.009732551861657175	C16orf74	0.8149226722096699	SIDT2	3.06557934106783e-08	SIK2	4.671168620710361e-08	ISOC1	0.8933302159318519	ZNF75D	0.30573593869408566	PIK3CA	0.032669665179574356	ZNF236	0.14090619315650554	CGAS	0.6503596821294183	SCFD2	1.5068634518632214e-07	LINC01362	0.387993511081304	PSMC4	0.6026947310123603	NOB1	0.6705304226502133	VPS54	0.03561666141693916
AC024560.5	0.6607644118445346	HEATR1	0.2926020463285257	TMEM168	0.00029991247514061126	PZP	0.3263664524679881	NADSYN1	1.0226116636544768e-25	TYW5	0.009744099404888	CENPT	0.8158117485792529	AC009522.1	3.0917854537611486e-08	ZC3H6	5.1709236050195205e-08	TMEM161B-AS1	0.8896129579134684	FNIP1	0.3020175361619898	ITGAX	0.03175913484222486	SPRED1	0.14117044304670606	AC138627.1	0.6438797810837991	AGPS	1.3815731946674046e-07	ATP11C	0.39572318674426943	ODC1-DT	0.6036844614161819	PIDD1	0.669712062448521	CENPP	0.03561666141693916
MYO9A	0.6603363617183635	FBXO6	0.29274193602403953	TEX9	0.00030048003469325147	RHOT1	0.3244925142209988	AC027097.2	1.0250502677415635e-25	FCF1	0.009860248179692527	MICOS10	0.8163265854791434	DENND3	3.122633989110228e-08	RGL1	5.192987148707361e-08	NIBAN1	0.88702357118789	C11orf74	0.30141194774015434	UBE2R2-AS1	0.0303990322264736	ACTR5	0.1412586109354475	TMEM161B-AS1	0.6429220785534617	AP002954.1	1.3378706412326174e-07	FGGY	0.3963455539713635	NFIA	0.6043446872055401	MYCBP	0.6659526666376904	SEL1L	0.035702273655611017
MPP6	0.6596944949105106	WDR54	0.29325524903346023	MCTP1	0.00030079578003989576	C11orf24	0.3213119965967315	TAOK1	1.0535118913340492e-25	AC009690.2	0.009923815588095158	AHI1	0.8167010621250718	PDCD11	3.162735406277398e-08	JAML	5.2003619188808476e-08	NOCT	0.8829730483254444	WDFY2	0.3012774824166661	CHST2	0.030282148362594838	MOB1B	0.14161170574172066	AP002381.2	0.6371883640608507	PSMC4	1.3321876632233534e-07	ZNF391	0.3973841449144758	TESMIN	0.6067241789248186	GLUL	0.66301636866209	HTRA2	0.03591707253215974
PPP1R3F	0.6569871562066326	AKT2	0.29461142262011863	SFMBT1	0.00030320561876965506	GET1	0.3211480427174197	SLC39A6	1.0763313598033966e-25	VAMP7	0.00993220684233515	SDHAF4	0.8193235658951215	GANC	3.1728385579568396e-08	AC005842.1	5.3348566234853084e-08	TMEM87A	0.8779142066219164	SBF2	0.2901904982272252	BCL2	0.03008433193075938	RRNAD1	0.14165589023078815	MIPEP	0.6352819200342472	SYNE1	1.2936679811066833e-07	ARL15	0.39748809419301157	SHBG	0.6079154926648905	LINC02416	0.6610617056907011	TGFBR1	0.036437090291507414
SLC22A15	0.6540000650543738	SGPP1	0.29705369287196703	KLRD1	0.0003036515037220256	P4HTM	0.3172295471865645	SUMF1	1.1121437432242439e-25	WDR54	0.010031702049199486	TRAPPC6B	0.819417264317762	AC005670.3	3.21926158830981e-08	TEX261	5.527260322611923e-08	CHST2	0.8664662552003195	ZC4H2	0.28666499279269353	IGLC3	0.02960036434821273	LINC02709	0.14187697156583992	STX8	0.6345676255034685	ECE1	1.2065959778286222e-07	ZNF3	0.40124117792552816	AUH	0.6088427904491531	DUS3L	0.6589467597095917	ORMDL2	0.03648071325862559
AL160291.1	0.6530766084016854	CPED1	0.2976663696686086	B3GNT2	0.0003090502370313107	AC002460.2	0.3147964754994116	ANGPTL1	1.1532454348756053e-25	LINC00513	0.010060534417707592	GSTCD	0.8198857950810706	RAPGEF4	3.230683844017743e-08	GALC	5.746671393752612e-08	AGPAT3	0.8601928380655395	ADAMTSL4-AS1	0.28530180646470193	ATP2B1-AS1	0.02954319762304551	ADGRL1	0.14187697156583992	NBN	0.6204717668769139	MAP3K4	1.1343403507349013e-07	GIT1	0.402182762732861	FEZ2	0.6095055312194233	ELMO1-AS1	0.658459081559157	ABCB1	0.03652438072017391
S100A9	0.6524376033473176	ZNF419	0.2978078764595826	SIRT3	0.0003126336689663599	FAM98A	0.31420359520821584	VPS35L	1.192301869823018e-25	PAXIP1	0.010233359255778752	AC018754.1	0.8203543901429001	STRADA	3.24444245129314e-08	MYO18A	6.189217670986611e-08	KATNA1	0.8598570073569336	KCNQ1	0.285042649691874	CD27-AS1	0.02886457019700169	RAPH1	0.14200974752768766	RASGRP3	0.6172926097760476	EGR3	1.1119045021565547e-07	PPIP5K1	0.4085994722099071	TET3	0.6096381178488937	SULF2	0.6576466074888709	ISG15	0.03661184926656819
PXK	0.6520827106935729	ZNF133	0.2989888475489533	AC040934.1	0.00031269918089997154	MRPL20	0.31388051568822484	ANPEP	1.2051319870179773e-25	AAR2	0.010337274276820674	CDCA4	0.820635577976147	ZCCHC9	3.323488085914855e-08	IL12RB2	6.290474840278719e-08	SLC35B3	0.8591854220390005	RRP12	0.2849778853828733	AC008781.2	0.028309341144942102	LIN54	0.14223125285012808	ID3	0.6169398108970534	VMP1	1.0456470561290187e-07	ATG10	0.40955133333241023	ACYP1	0.6112301561183753	KCTD16	0.6566721723171779	OTUD1	0.03674338666981184
LY6G5B	0.6490338925869247	AC053527.2	0.2993200788117414	CSTA	0.000314012121626266	TM2D1	0.3123220467128147	MGME1	1.220999194694688e-25	LRGUK	0.010342494591848458	TMEM184B	0.8211980227712232	PSMD1	3.358952097102424e-08	TDRD3	6.534556937238334e-08	TET3	0.8573950271407034	IL4I1	0.28117440174364083	UBN2	0.02819940646796702	RPS10-NUDT3	0.14240864805346337	SEL1L3	0.6168222309127296	RBPJ	1.0386905553956997e-07	ARRDC4	0.4120960688275098	SDC2	0.6116284533542683	NCR1	0.6563474902063162	ACSL4	0.03678732183341069
SDF2	0.6474055358926747	PPP1R12B	0.30145526706493053	KIZ	0.0003144070091008344	DACH2	0.30698718202755526	NIBAN1	1.2578352120097184e-25	MTMR3	0.010412323314133741	C5orf22	0.8235425291965204	USF1	3.3851920514493065e-08	ADAM19	6.594673729349524e-08	MIR646HG	0.8570594094695339	ATAD2	0.27842417494685867	AC005062.1	0.026887549396213583	PANK3	0.1428084083105662	AC005562.1	0.6094346012370234	C1orf56	9.7340310485975e-08	TXNDC16	0.4122023025612669	VAMP7	0.6134886911735162	ZBTB43	0.6553738334487242	LINC01725	0.03705187357815759
CACNB3	0.646910283375514	CASC3	0.3029797784860446	DIAPH2	0.00031818169655367954	APBA3	0.30656301567222144	TNF	1.299627871316575e-25	ABCA5	0.010479048837145614	IKBIP	0.8297395450102	AC138627.1	3.4946229903678114e-08	AC074099.1	6.631934617630182e-08	KANK1	0.8543754033809121	CHKA	0.2726016205582029	XACT	0.026803397645111027	WDR12	0.14289736077650692	PGAP1	0.6089668761162754	ANXA4	9.003776937865279e-08	ALDH6A1	0.4140107592510157	SAC3D1	0.6136216607776599	AC068587.4	0.6547250541142967	RNF26	0.03714041672238001
PAFAH1B3	0.6467688113629522	SPATA5	0.3044136554820549	IWS1	0.0003219987728631784	PHKG1	0.3064040534502347	DISP1	1.378351866832237e-25	NETO1	0.010494907860783031	IFIH1	0.8299275008887808	CLEC16A	3.5343525162385275e-08	OSBPL10-AS1	6.735456739828348e-08	TRGC1	0.8509110592386546	PPM1D	0.26909853234729253	CEP57L1	0.026148614329202294	ZHX1	0.1436998474736704	BPHL	0.6069808290912646	RSRC1	8.665059590694604e-08	BAG4	0.4169996069354275	TGM3	0.6172166331790525	ANO10	0.6511614376679631	AGFG1	0.03776527687125343
MCM9	0.6453547941066171	AC011092.2	0.3045094072171364	UBE3D	0.000335104063404407	AL035530.2	0.3041843183219205	MIIP	1.3816300825415025e-25	LST1	0.0105337642846693	CCNG2	0.8317135656837017	EZH2	3.564436799141734e-08	MYO1E	6.763960639795036e-08	EPS15L1	0.8451063908522493	CRNKL1	0.26804123611424213	MAPK6-DT	0.025974313302326493	TMEM67	0.14374453120126696	GALNS	0.6062805627073558	AL354740.1	8.557657475141118e-08	WDR70	0.41742762139939327	DNAJC24	0.6202862732091661	FLYWCH2	0.649867545401434	CLSTN3	0.03776527687125343
ALPK1	0.6436243691320793	ABRAXAS2	0.30724673708228034	NEMP1	0.0003421629156316	CENPF	0.30360472828863316	CHST2	1.399798876829428e-25	ACACA	0.010574523685676688	ASH2L	0.8341590614957273	SLC35D1	3.569474933445294e-08	HK2	6.835732562431436e-08	F5	0.8426530796874454	SCLT1	0.2662442081375963	IFIT3	0.025719813389665457	SIRPB2	0.14374453120126696	TSPOAP1-AS1	0.6029010480965209	CAPN5	8.475918709363869e-08	AC010531.3	0.4187132173448115	SEC24D	0.6218904589958782	KIF5C	0.6480901668316845	PSMG3	0.038307968010433964
CXCR5	0.6376710268693946	HCG18	0.3077527536885475	SAMD3	0.00034323366387464674	AP000317.1	0.30234271687376746	JADE1	1.408135507265567e-25	PIK3CG	0.010579850457930461	ZHX1	0.8348177394218655	AL390728.6	3.737026807518638e-08	UAP1	6.898531172614834e-08	CLECL1	0.8423186549891997	PTAR1	0.2635335479784958	AL161781.2	0.025537911532651007	PHF7	0.1439233726714797	TSPAN4	0.6004591189851227	ATF6	8.419151911426202e-08	ROCK2	0.42420293460823844	WEE2-AS1	0.622425587530257	NAPB	0.6469601501962421	C1orf35	0.03835349004258594
MIR181A1HG	0.6376007118795837	TNS3	0.30917736939229556	CPLANE1	0.00034538457068001123	AC093865.1	0.3022902089117355	RAPGEF4	1.4148402251126856e-25	NR3C2	0.010602960726064288	DPH6	0.8350059544225736	AC239799.2	3.879268238865848e-08	BHLHE40	6.986406438282597e-08	MED16	0.8415384413896965	ATF6	0.25853281219547464	ABHD5	0.024074441497080625	HPGD	0.14405761569978948	MED16	0.5987176263229327	TIMP2	7.788478350978827e-08	TRAF4	0.4266923951985685	ZNF81	0.6229609156470508	C12orf60	0.6461534933459596	LINC01176	0.03844467207269717
RUSC2	0.6373897864801217	FOSL2	0.3128188700225518	LGR6	0.00035205956779776936	TIFA	0.3011365687219737	B3GAT1	1.4283447231116101e-25	AHI1	0.010633249584630529	SRPK1	0.8360413055794458	CPEB4	3.934297184705469e-08	HLA-DMA	7.307719126067244e-08	GRIP1	0.839532894030216	CYP27A1	0.2532397604296299	ZSCAN25	0.023902667424995604	LINC02725	0.1443712227385534	DLG1	0.5973260837282457	SLC29A3	7.736176330253982e-08	KCTD2	0.42777742049585266	KLF11	0.6236303561013309	PDPK1	0.6438970688790704	HEATR5B	0.038627588993412725
TTC37	0.6345802595279391	ZFP36L2	0.31355054595432985	LRRFIP2	0.0003555160014191627	LRP1	0.2991508329254162	DTHD1	1.4419769604174646e-25	ZC3H12A	0.010685096438052294	SPAG1	0.8395259255995207	PKNOX1	3.942616542584931e-08	DNAJC30	7.654048818835043e-08	WDR20	0.8326329474258776	LETM2	0.24955618421999115	IER3	0.023893155668152914	ALAS1	0.14482014015861738	TRAPPC5	0.5963992064188495	ZNF407	7.512231790231175e-08	FBXL17	0.4287553153674277	CHODL	0.6241661324273902	AL391839.3	0.6430919964014623	SLC35D2	0.038627588993412725
GGACT	0.6331073591610141	AC016168.2	0.3161938973557403	AL031727.2	0.00035818491841479094	VPS18	0.2964995295075292	CLSTN1	1.4471222261788842e-25	AOAH	0.010733569591083077	PSD3	0.8399028310449543	GTDC1	3.945393450861292e-08	SNX4	8.295838210368189e-08	WDR70	0.8315212447052875	MLH3	0.24926076160932087	SLC7A11	0.02384564611213951	ZDBF2	0.14522507953691058	AC104472.4	0.5961675894815431	CST3	7.266483040707416e-08	CSTF2T	0.43055149522522074	EIF2AK3	0.6275192298176218	AC005480.1	0.6414831088181651	AIMP2	0.03890335080518266
AL357054.4	0.6328970633321663	MIB1	0.3173241983308255	CCDC138	0.0003634281987570009	ARL17A	0.29505061677199995	USP18	1.50493516202731e-25	ERCC6L2	0.01077140599878742	CIAO3	0.843956865967777	CPVL	4.001331567967354e-08	EEFSEC	8.675265408995896e-08	CNTNAP2	0.8235270640494485	MPP6	0.24790496647134574	ARHGEF4	0.023750872776914206	ARSG	0.14527012627877114	CA2	0.5880869543035803	HSPA6	6.95090151120601e-08	ELP4	0.4306604947750208	EML2	0.6277878114129173	ZBED4	0.6411615329140032	MFSD12	0.03894947331564145
MAP3K10	0.6284178431396212	BMPR2	0.31786571240454475	SPON2	0.00036380545173868203	HIST1H4E	0.2948956579408263	FAM177B	1.6333164419290486e-25	AC090579.1	0.010838358726936323	RORA-AS1	0.8471653166504702	WDR70	4.0239214879622873e-08	KIF9-AS1	8.742149657676079e-08	VTA1	0.8225290597145745	DNAJC27	0.24655434083654326	CEP135	0.023656426386216556	DLGAP1	0.14558575315957414	JCHAIN	0.5823462528826084	DERA	6.897390340704932e-08	RAB27B	0.43399266501532585	TBC1D22A	0.6307454569555297	STK16	0.6401972093414807	CRADD	0.03904185769419191
EHBP1L1	0.6274398271882526	TDRD7	0.31786571240454475	LGALS2	0.00036577307672005285	PXN-AS1	0.2948440171170341	ABHD3	1.6333164419290486e-25	FLNB	0.01095137935612635	TBC1D1	0.8486760562228891	USP12-AS1	4.0437890730205424e-08	DCUN1D4	9.544791171988371e-08	PSAP	0.8173219583912519	ZHX1	0.24626141013578984	S100B	0.023477875725229497	PARP11	0.14617330999530978	NCOA3	0.5698096851643859	TMEM87A	6.023063734583001e-08	CRPPA	0.43574663057784224	GSE1	0.6322265048920175	TRAF3IP2	0.6374682615940321	TMTC2	0.03913442812152941
DIAPH2	0.6271605141397012	SESN3	0.3189011926190589	MYCBP2-AS1	0.0003732792940179824	FEZ1	0.29304040553734767	ATP6V1B2	1.6804683838289126e-25	VPS53	0.010953210819927605	UACA	0.8499984096555953	CEP152	4.075201881248019e-08	GNG7	1.0104984971810192e-07	HOMER1	0.8172112556720117	PARP11	0.24503376525279208	PTGS2	0.02341238935934929	CD300E	0.14680809104763073	DIP2C	0.5693562462303458	UBE2E2	5.962005510608721e-08	NPLOC4	0.4376146905245164	ORAI2	0.633709029684066	KIF18A	0.6373078877383113	LEMD2	0.03922718488418072
ANKIB1	0.621203028110421	NUP93	0.3203347677827457	CPD	0.0003742082546765832	AC095055.1	0.29114179903318904	AC010894.3	1.763115399980575e-25	MTMR10	0.01102485053937464	LINC01857	0.854157108539715	VPS35L	4.1973325641627705e-08	TBC1D1	1.0126071886503527e-07	TNFAIP3	0.8152192322649393	PRR3	0.2432874460412604	SIGLEC7	0.023393708114119345	SPAST	0.14683080073188176	CSGALNACT1	0.5624627346976855	INTS13	5.545684005506417e-08	MTFR1	0.4378347648346087	ELL2	0.63384387772628	ATG16L2	0.63602550878724	CMAS	0.0392736332308493
IGF2BP2	0.6197088258661347	ME1	0.32147473218611144	CD70	0.0003776329655293515	DUSP5	0.29103940783023374	NAPG	1.772543477786814e-25	GRIP1	0.011087645030607234	ZNF611	0.8555757795820316	STAT4	4.215066956364482e-08	PPM1D	1.0556865287631423e-07	HAT1	0.8125650600979912	ALCAM	0.24322938642011127	GFRA2	0.021949355452980168	VIPR2	0.1468989459052702	FLNB	0.5622937310667858	STXBP5	5.200508023876772e-08	RB1-DT	0.4404806179636155	TMEM67	0.6341136102889995	AC020908.3	0.6339439693743701	AC139720.1	0.0392736332308493
GPCPD1	0.6192226797402027	SCO1	0.32159880078459524	CAAP1	0.00037786753215388096	DNAJC1	0.289914702932934	NPC1	1.8651918003828283e-25	CSPP1	0.011304282948611011	AC079305.1	0.8557649710981033	PFAS	4.262714592269527e-08	PPP1R18	1.1213165678594411e-07	MICU2	0.8121229064525076	CPQ	0.24256240062751777	MEF2C-AS1	0.021166689363867407	MINDY3	0.1468989459052702	ZNF497	0.5620121128638542	RAD51B	4.9312577046709904e-08	MAGED1	0.4415857569567637	LINC02246	0.6341136102889995	CDRT4	0.6336239889081126	NLK	0.03964690390927244
SYN3	0.6126415161240637	ZDHHC17	0.3219215254331692	LAMP2	0.00037825877919483433	MYO1D	0.2894554408429184	IFFO2	1.8729408237774649e-25	EXOC6B	0.011340122727722144	TEX14	0.8588878200995615	L3MBTL4	4.3321240774778765e-08	ZDHHC21	1.1520027695402713e-07	N4BP1	0.8071528372592437	AGTRAP	0.24230175663183284	MAF	0.021149576526462436	RNF141	0.14730832497671548	NUP214	0.5570668203166101	GNAQ	3.942270495561962e-08	ZNF134	0.4441335931707129	OXT	0.6351930263685589	A2M-AS1	0.6315457879378256	BABAM1	0.0397406906477245
POGZ	0.6077432427382674	CASTOR3	0.32214507397480185	AL158801.2	0.00038006339749849103	CDKN2AIPNL	0.2885383873485733	WDR4	2.190982362529998e-25	FCER1G	0.011540009777981263	CRB1	0.8589824866165384	ING3	4.3687714472916734e-08	RB1-DT	1.1567952730037921e-07	PPM1L	0.8027415178779049	RELCH	0.23861613212016408	TBC1D2	0.021132475743267216	CHTF18	0.14749055094971014	AC019197.1	0.5341998598824111	SGSM3	3.822022693017795e-08	ABCB1	0.4451328523223358	EREG	0.6373541842683494	TRIM35	0.6283542388694068	KARS	0.0397406906477245
NIP7	0.6051975645245548	AC008569.1	0.32241843750744215	AAGAB	0.0003851273842571871	CXorf21	0.28833486394410934	ZFYVE28	2.3216900976271517e-25	GSE1	0.011578436048421556	CHL1	0.862865544063136	GLCCI1	4.3779801488167426e-08	HDAC8	1.1802323286593766e-07	PSTPIP2	0.8010888840824022	CENPW	0.23633280611822804	ANPEP	0.020970618189569967	GALK1	0.14824405482018635	TNFAIP8L2	0.5323341660046961	CHD7	3.6853185358911506e-08	AC106791.1	0.4466898003991827	WWC3	0.640601706568038	AL353135.1	0.6261242763582466	ACYP2	0.03992882902222367
PIM3	0.6041325538956499	IARS	0.3230651708970004	MACC1	0.0003864830664017884	NIFK	0.2859507142646316	CHKA	2.4211857896316476e-25	PARD3B	0.01162469741112439	SLC9B2	0.863149801529735	WDR4	4.381053895872844e-08	LINC01684	1.1991464082247287e-07	TSPAN4	0.7954766265717264	TGFB1	0.23536708627667058	IPO9	0.020936680905170906	AC104596.1	0.14831270071901742	GART	0.5275206796536669	API5	3.492557080739633e-08	NOCT	0.4470238348551875	PRCP	0.6458936148554033	PROCR	0.6256468708086544	ZDHHC14	0.03997598151304174
USP32	0.6016279563765247	EPS15L1	0.32611113006385106	CHST7	0.00038688264437939534	PRKAR2B	0.2857989880959484	TMEM63A	2.441297706878622e-25	PIP5K1A	0.011671122694776478	BCL2L11	0.8637183695807567	TAP2	4.3825915539021275e-08	AL355001.2	1.2464325821592013e-07	YPEL1	0.7933884712125514	FBXW7	0.2335004342682384	AC073115.2	0.020708853661347858	RDH5	0.14835847813865163	AC079305.1	0.5233815145571692	ERCC6L2	3.4822352908130855e-08	NAT14	0.44891937846580776	AC010996.1	0.6463014324916693	CYP4V2	0.6251696221772534	CST7	0.04016506414721726
ATG9A	0.597965324670898	DPYSL2	0.3261612188380354	ADAM23	0.0003878432072316797	PCGF3	0.28252494627343017	TET3	2.4834862657470136e-25	DNAJC3-DT	0.011968987755401724	MIIP	0.8644765700617497	C1orf21	4.415003504128879e-08	CTDP1	1.2507412192649315e-07	GFOD1	0.7931687512459317	ENOX2	0.22929713857167877	ALG2	0.020675285958263515	PILRA	0.1489545670764738	TMEM63A	0.5192590785705992	FTX	3.4770854972478984e-08	HSPB1	0.4562089590874002	SPINT2	0.6463014324916693	VIPR2	0.6251696221772534	IARS	0.04021245315401272
BABAM2	0.5944492105633318	CHPF	0.32651198026196737	SUSD6	0.0003879233546558355	LCP2	0.28052283777473364	MTOR	2.560951814400062e-25	ZDHHC21	0.011982866124663262	ADAM22	0.8655192993534693	AC027097.2	4.4554546722442817e-08	METTL7A	1.269871019427318e-07	IGHG3	0.7894360373388996	AL136962.1	0.22796352575317225	PRPF4	0.020666901448470838	TBC1D7	0.14927629444752352	TBC1D5	0.5190425735262411	RPS6KA3	3.4412432121368164e-08	TMEM259	0.4563216239452903	ALOX12-AS1	0.6539334287479217	AL157938.3	0.624692530629097	MTSS1	0.0404977841033456
SLC15A4	0.5880559372404353	PRMT3	0.3275155057546306	AC084198.2	0.0003880836959391477	RALGPS1	0.2757818470560677	THADA	2.5746003100677336e-25	C21orf91-OT1	0.012060449937343311	TRAPPC5	0.8668467477940861	CRB1	4.474245411063859e-08	KLHL5	1.2964138521697e-07	HAVCR2	0.784393592208176	HEATR5A	0.22536789516816158	CCDC120	0.020633393047631492	KCTD16	0.15024465876791848	ANKRD28	0.5118166863480149	NUTM2A-AS1	3.344101958284047e-08	TBC1D19	0.4565470005862451	RMDN1	0.655026698092364	AC008467.1	0.6242155963290422	PSMD6	0.0404977841033456
KCTD5	0.5856836109205585	GMDS-DT	0.3278672121537276	CHST11	0.00038936865759670947	HIST1H3A	0.2740826513546064	EXOC6	2.5852656208954306e-25	IL24	0.012100408956769181	LINC01934	0.8682694307224839	KLRF1	4.477384661385414e-08	NDST2	1.298202330460279e-07	AC138627.1	0.7829701821948204	AC108879.1	0.22192184895132294	TUBD1	0.020079128309317597	ACVR1C	0.15038338667637188	NDRG1	0.511064783164433	NUP214	3.3276245231502815e-08	CLCN6	0.4567724397824756	GFM1	0.6561207074831075	PLCG1	0.6238977275703834	ABHD14A	0.04064109207651471
